geo,pli_latest,pli_year
AL,100.1,2024
AT,110.5,2024
BA,83.2,2024
BE,105.3,2024
BG,88.8,2024
CH,158.5,2024
CPC1,90.0,2024
CY,104.7,2024
CZ,89.0,2024
DE,102.7,2024
DK,120.2,2024
EA11,103.2,2024
EA12,103.2,2024
EA13,103.2,2024
EA15,103.2,2024
EA16,102.9,2024
EA17,102.9,2024
EA18,102.9,2024
EA19,102.9,2024
EA20,102.9,2024
EE,106.2,2024
EL,105.8,2024
ES,95.2,2024
EU15,103.6,2020
EU25,100.5,2020
EU27_2007,99.1,2020
EU27_2020,100.0,2024
EU28,99.1,2020
FI,109.8,2024
FR,110.1,2024
HR,103.7,2024
HU,94.8,2024
IE,114.5,2024
IS,143.9,2024
IT,101.7,2024
LT,101.2,2024
LU,124.8,2024
LV,105.4,2024
ME,84.4,2024
MK,73.4,2024
MT,112.2,2024
NL,98.9,2024
NO,131.2,2024
PL,86.8,2024
PT,101.5,2024
RO,75.5,2024
RS,96.4,2024
SE,106.4,2024
SI,100.0,2024
SK,83.4,2024
TR,76.7,2024
UK,92.3,2020
XK,83.7,2022
